product_name,product_url,product_price
ASUS ROG FLOW Z13 GZ301ZE 13.4 INCH WUXGA TOUCH DISPLAY CORE I9 12TH GEN 16GB LPDDR5 RAM 1TB SSD GAMING LAPTOP WITH RTX 3050 TI 4GB GRAPHICS,https://www.techlandbd.com/asus-rog-flow-z13-gz301ze-gaming-laptop,"272,000৳"
ASUS ROG FLOW X13 GV301QE 13.4 INCH WQUXGA 120HZ TOUCH DISPLAY RYZEN 9-5980HS 32GB RAM 1TB SSD GAMING LAPTOP WITH RTX 3050TI 4GB AND ROG XG MOBILE RTX 3080 16GB GRAPHICS (SUPERNOVA EDITION),https://www.techlandbd.com/asus-rog-flow-x13-gv301qe-gaming-laptop,"330,000৳"
ASUS G713RM ROG STRIX G17 17.3 FULL HD DISPLAY RYZEN 7 6800H 16GB RAM 512GB SSD LAPTOP WITH 3060 6GB GRAPHICS,https://www.techlandbd.com/asus-g713rm-rog-strix-g17-laptop,"232,000৳"
ASUS EXPERTBOOK P1412CEA 14-INCH FHD DISPLAY INTEL CORE I3 11TH GEN 4GB RAM 1TB HDD LAPTOP,https://www.techlandbd.com/asus-expertbook-p1412cea-ek0183-laptop,"53,000৳"
APPLE MACBOOK AIR MGN63 13.3-INCH FULL HD RETINA DISPLAY M1 CHIP 8GB RAM 256GB SSD LAPTOP (SPACE GRAY),https://www.techlandbd.com/macbook-air-mgnd3pa-m1-chip-laptop-space-gray,"122,000৳"
ACER SWIFT SF314-510G 14-INCH FULL HD IPS DISPLAY CORE I7 11TH GEN 16 GB RAM 32GB+512GB SSD LAPTOP,https://www.techlandbd.com/acer-swift-3x-sf314-510g-i7-laptop,"116,000৳"
ACER SWIFT SF314-43 14 INCH FHD IPS DISPLAY RYZEN 5 5500U 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/acer-swift-sf314-43-laptop,"74,000৳"
ACER SWIFT SF314 14 INCH FHD IPS DISPLAY RYZEN 5 5500U 8GB RAM 1TB SSD LAPTOP,https://www.techlandbd.com/acer-swift-sf314-43-laptop-bd,"77,500৳"
ACER ASPIRE 3 A315-58-33VT 15.6 INCH FULL HD DISPLAY CORE I3 11TH GEN 4GB RAM 1TB HDD LAPTOP,https://www.techlandbd.com/acer-aspire-3-a315-58-33vt-laptop,"46,000৳"
ASUS VIVOBOOK 15 X515EA 15.6 INCH FHD DISPLAY CORE I3 11TH GEN 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/asus-vivobook-15-x515ea-laptop,"62,800৳"
